time_period_start,price_open,price_high,price_low,price_close,volume_traded
2024-03-28T00:00:00.0000000Z,3499.62,3612.3,3462.44,3561.1,82362.60471651
2024-03-27T00:00:00.0000000Z,3587.5,3665.95,3458.0,3499.56,107446.50599849
2024-03-26T00:00:00.0000000Z,3590.61,3681.9,3544.0,3587.67,97850.9535724599
2024-03-25T00:00:00.0000000Z,3454.88,3661.7,3418.61,3591.02,119362.91076171
2024-03-24T00:00:00.0000000Z,3330.28,3471.22,3300.0,3454.67,60519.98032883
2024-03-23T00:00:00.0000000Z,3337.38,3436.39,3271.47,3330.05,94838.5852274799
2024-03-22T00:00:00.0000000Z,3491.78,3542.56,3250.33,3337.41,163242.07953769
2024-03-21T00:00:00.0000000Z,3517.02,3586.59,3410.45,3491.78,108501.9351426
2024-03-20T00:00:00.0000000Z,3156.94,3536.72,3057.5,3516.68,324361.65603755
2024-03-19T00:00:00.0000000Z,3520.52,3547.97,3147.81,3156.97,257574.060842911
2024-03-18T00:00:00.0000000Z,3641.52,3642.56,3454.3,3520.66,119828.05051938
2024-03-17T00:00:00.0000000Z,3520.24,3676.76,3410.78,3641.37,109583.54224228
2024-03-16T00:00:00.0000000Z,3743.29,3781.4,3466.55,3520.1,116627.69865472
2024-03-15T00:00:00.0000000Z,3880.45,3932.39,3566.38,3742.95,251956.24574379
2024-03-14T00:00:00.0000000Z,4007.79,4013.25,3714.53,3880.45,190603.5701246
2024-03-13T00:00:00.0000000Z,3980.31,4085.57,3934.52,4007.7,105060.73278207
2024-03-12T00:00:00.0000000Z,4066.61,4093.88,3830.6,3980.34,103072.99114734
2024-03-11T00:00:00.0000000Z,3882.48,4085.09,3760.0,4066.12,98668.3174104999
2024-03-10T00:00:00.0000000Z,3913.84,3972.17,3800.01,3881.96,53947.86730416
2024-03-09T00:00:00.0000000Z,3892.62,3951.37,3882.6,3913.41,49389.0695105
2024-03-08T00:00:00.0000000Z,3875.42,4000.0,3826.37,3892.6,153721.15043875
2024-03-07T00:00:00.0000000Z,3822.1,3941.57,3736.51,3875.28,85969.5997467302
2024-03-06T00:00:00.0000000Z,3557.42,3903.42,3502.0,3821.82,112672.69203865
2024-03-05T00:00:00.0000000Z,3632.92,3829.93,3227.72,3557.41,207219.96074033
2024-03-04T00:00:00.0000000Z,3489.95,3650.0,3430.0,3633.23,113525.07350893
2024-03-03T00:00:00.0000000Z,3423.77,3493.78,3370.72,3489.53,60117.2008459699
2024-03-02T00:00:00.0000000Z,3436.37,3462.0,3398.14,3424.04,58273.7134219799
2024-03-01T00:00:00.0000000Z,3341.78,3454.95,3340.15,3436.0,107973.38142919
2024-02-29T00:00:00.0000000Z,3386.64,3521.99,3302.1,3341.78,184770.89304774
2024-02-28T00:00:00.0000000Z,3244.35,3492.31,3185.0,3386.64,213919.51646483
2024-02-27T00:00:00.0000000Z,3178.2,3291.36,3167.8,3243.99,144131.73336356
2024-02-26T00:00:00.0000000Z,3113.37,3198.77,3036.62,3178.34,149078.28177473
2024-02-25T00:00:00.0000000Z,2992.41,3121.04,2983.45,3113.17,86028.2084837999
2024-02-24T00:00:00.0000000Z,2921.76,3005.28,2906.2,2992.66,46828.0872104
2024-02-23T00:00:00.0000000Z,2969.75,2991.94,2905.71,2921.79,89605.73513936
2024-02-22T00:00:00.0000000Z,2968.37,3035.84,2906.13,2969.75,159019.68302075
2024-02-21T00:00:00.0000000Z,3015.53,3017.99,2868.32,2968.37,168224.66803741
2024-02-20T00:00:00.0000000Z,2944.94,3033.53,2873.82,3015.56,161573.20203112
2024-02-19T00:00:00.0000000Z,2881.91,2985.0,2857.33,2945.43,102810.46666763
2024-02-18T00:00:00.0000000Z,2787.12,2896.74,2765.55,2882.06,64492.7563667899
2024-02-17T00:00:00.0000000Z,2804.09,2806.8,2721.18,2786.83,50085.4741926
2024-02-16T00:00:00.0000000Z,2825.88,2860.28,2745.48,2803.89,108463.78947538
2024-02-15T00:00:00.0000000Z,2777.37,2868.68,2761.9,2825.94,123677.70423588
2024-02-14T00:00:00.0000000Z,2641.84,2788.95,2619.36,2777.56,110662.90678142
